galaxy,galaxy_raw_chae2020,x0_chae2020,x0_missing_flag,eenv,eenv_err_lo,eenv_err_hi
UGC06983,UGC 06983,-10.952,0,0.034,0.005,0.006
UGC07089,UGC 07089,-11.166,0,0.033,0.005,0.005
UGC07125,UGC 07125,-11.386,0,0.007,0.002,0.002
UGC07151,UGC 07151,-10.712,0,0.029,0.004,0.005
UGC07232,UGC 07232,-10.68,0,0.024,0.003,0.004
UGC07261,UGC 07261,-11.097,0,0.028,0.003,0.004
UGC07323,UGC 07323,-10.898,0,0.024,0.004,0.004
UGC07399,UGC 07399,-10.92,0,0.018,0.003,0.004
UGC07524,UGC 07524,-11.181,0,0.032,0.006,0.008
UGC07559,UGC 07559a,nan,1,0.022,0.004,0.004
UGC07577,UGC 07577a,nan,1,0.038,0.003,0.003
UGC07603,UGC 07603,-10.997,0,0.032,0.003,0.003
UGC07690,UGC 07690,-10.824,0,0.027,0.003,0.003
UGC07866,UGC 07866a,nan,1,0.036,0.006,0.007
UGC08286,UGC 08286,-10.832,0,0.023,0.004,0.004
UGC08490,UGC 08490,-11.162,0,0.026,0.004,0.005
UGC08550,UGC 08550,-11.251,0,0.025,0.003,0.004
UGC08699,UGC 08699,-10.12,0,0.04,0.01,0.014
UGC08837,UGC 08837,-11.296,0,0.024,0.004,0.005
UGC09037,UGC 09037,-10.734,0,0.03,0.005,0.006
UGC09133,UGC 09133,-9.81,0,0.042,0.009,0.011
UGC09992,UGC 09992a,nan,1,0.033,0.006,0.007
UGC10310,UGC 10310,-11.108,0,0.044,0.008,0.009
UGC11455,UGC 11455,-9.898,0,0.027,0.004,0.005
UGC11557,UGC 11557,-10.904,0,0.025,0.004,0.005
UGC11820,UGC 11820,-11.305,0,0.039,0.008,0.009
UGC11914,UGC 11914,-9.346,0,0.031,0.004,0.005
UGC12506,UGC 12506,-10.508,0,0.033,0.005,0.006
UGC12632,UGC 12632,-11.304,0,0.028,0.004,0.004
UGC12732,UGC 12732,-11.361,0,0.029,0.004,0.005
UGCA442,UGC A442,-11.259,0,0.026,0.004,0.005
UGCA444,UGC A444a,nan,1,0.028,0.004,0.005
