galaxy,Q,T,D_mpc,e_D_mpc,distance_frac_error,Inc_deg,e_Inc_deg,SBeff_Lsun_pc2,Rdisk_kpc,Vflat_kms,Vmax_kms,n_points,mean_frac_v_error,median_frac_v_error,L36_1e9Lsun,Lbul_1e9Lsun,Mstar_1e9Msun,Mgas_1e9Msun,Mbar_1e9Msun,gas_fraction,mean_residual_dex,median_residual_dex,std_residual_dex,eenv,eenv_err_lo,eenv_err_hi,x0_chae2020,x0_missing_flag,galaxy_raw_chae2020
NGC4068,2.0,10.0,4.37,0.22,0.05034324942791762,44.0,6.0,30.26,0.59,0.0,41.9,6.0,0.22891446877715757,0.11375232033943251,0.236,0.0,0.118,0.20482,0.32282,0.6344712223530141,-0.42385219556313175,-0.33025984808160214,0.24796724198527778,0.027,0.006,0.007,-11.173,0,NGC 4068
NGC4085,2.0,5.0,18.0,2.5,0.1388888888888889,82.0,2.0,856.7,1.65,131.5,136.0,7.0,0.06667236625085318,0.054411764705882354,21.724,0.0,10.862,1.79417,12.65617,0.1417624763257763,-0.18403867570622395,-0.10682012571500366,0.1836137419145294,0.024,0.003,0.004,-10.142,0,NGC 4085
NGC4088,1.0,4.0,18.0,2.5,0.1388888888888889,69.0,2.0,457.96,2.58,171.7,182.0,12.0,0.05051391642454811,0.040605704204645696,107.286,0.0,53.643,10.940580000000002,64.58358,0.1694018820263603,-0.1908246648462734,-0.2003292182455505,0.040368389431478476,0.031,0.004,0.005,-10.303,0,NGC 4088
NGC4100,1.0,4.0,18.0,2.5,0.1388888888888889,73.0,2.0,388.0,2.15,158.2,195.0,24.0,0.03715006875135726,0.03496974559556046,59.394,0.0,29.697,4.12566,33.82266,0.12197917017762648,0.024616029438000824,0.024160604517408757,0.052023552961773065,0.023,0.004,0.005,-10.442,0,NGC 4100
NGC4138,2.0,0.0,18.0,2.5,0.1388888888888889,53.0,3.0,1909.11,1.51,147.3,195.0,7.0,0.08929141089560155,0.08212290502793296,44.111,8.4683,23.749159999999996,1.9723900000000003,25.721549999999997,0.07668239277959533,-0.01177233792815662,-0.025744340209218564,0.054183776404979796,0.041,0.009,0.012,-10.02,0,NGC 4138
NGC4157,1.0,3.0,18.0,2.5,0.1388888888888889,82.0,3.0,848.85,2.32,184.7,201.0,17.0,0.049730830486905596,0.036464088397790057,105.62,2.0135,53.212700000000005,10.940580000000002,64.15328000000001,0.17053812369375349,-0.09877448334500831,-0.10591973046259895,0.04607075259584583,0.039,0.007,0.008,-10.51,0,NGC 4157
NGC4183,1.0,6.0,18.0,2.5,0.1388888888888889,82.0,2.0,86.46,2.79,110.6,115.0,23.0,0.06220961801522411,0.05048543689320389,10.838,0.0,5.419,4.66298,10.08198,0.46250637275614515,-0.037969285712758934,-0.07608217201940626,0.07360493196663648,0.025,0.004,0.005,-10.877,0,NGC 4183
NGC4217,1.0,3.0,18.0,2.5,0.1388888888888889,86.0,2.0,483.98,2.94,181.3,191.0,19.0,0.048365059009791815,0.03682795698924731,85.299,68.306,56.3107,3.40746,59.71816,0.05705902526132754,-0.23274255324874918,-0.12937126479384453,0.21264955729951776,0.027,0.005,0.006,-10.173,0,NGC 4217
NGC4559,1.0,6.0,9.0,2.7,0.30000000000000004,67.0,1.0,211.27,2.1,121.2,124.0,32.0,0.05573576127579225,0.046437882147416516,19.377,0.0,9.6885,7.728630000000001,17.41713,0.4437372862233905,-0.1325322923904081,-0.13046573936852557,0.027557178539462355,0.031,0.005,0.006,-10.832,0,NGC 4559
NGC5005,1.0,4.0,16.9,1.5,0.08875739644970415,68.0,2.0,1789.91,9.45,262.2,265.0,18.0,0.08475236043735991,0.08412164093767868,178.72,20.7589,93.51177999999999,1.7024000000000001,95.21417999999998,0.017879689768897873,-0.01632404562295806,-0.0061047535846654455,0.03592587995759359,0.028,0.004,0.005,-9.452,0,NGC 5005
NGC5033,1.0,5.0,15.7,4.7,0.2993630573248408,66.0,1.0,2036.24,5.16,194.2,225.0,22.0,0.02169658120259179,0.015309709167599656,110.509,25.1581,60.28612,15.04762,75.33373999999999,0.19974608986624057,-0.00528761889623725,0.010285116408254247,0.05677087550082096,0.026,0.004,0.005,-10.737,0,NGC 5033
NGC5055,1.0,4.0,9.9,0.3,0.0303030303030303,55.0,6.0,1383.02,3.2,179.0,206.0,28.0,0.019962033112936393,0.012260574620909816,152.922,0.0,76.461,15.59026,92.05126,0.16936498207629097,-0.11882523155211981,-0.11742270534921584,0.020383475466013202,0.028,0.005,0.006,-10.536,0,NGC 5055
NGC5371,1.0,4.0,39.7,9.92,0.2498740554156171,53.0,2.0,560.83,7.44,209.5,242.0,19.0,0.01875758222382103,0.014492753623188406,340.393,0.0,170.1965,14.8694,185.0659,0.08034651440378807,-0.09949442015556692,-0.1615282193333929,0.12711356489010922,0.03,0.003,0.004,-9.751,0,NGC 5371
NGC5585,1.0,7.0,7.06,2.12,0.3002832861189802,51.0,2.0,90.54,1.53,90.3,92.3,24.0,0.04373768899729371,0.031868407304397196,2.943,0.0,1.4715,2.2383900000000003,3.7098900000000006,0.6033575119477936,-0.11228719505484386,-0.05677685674341948,0.1107344613400261,0.024,0.004,0.005,-10.826,0,NGC 5585
NGC5907,1.0,5.0,17.3,0.9,0.05202312138728324,88.0,2.0,449.6,5.34,215.0,235.0,19.0,0.016172375164156472,0.013888888888888888,175.425,0.0,87.7125,27.96325,115.67575000000001,0.2417382208457693,-0.01080402052151803,-0.041843547870158204,0.08123943432740119,0.032,0.006,0.007,-10.578,0,NGC 5907
NGC5985,1.0,3.0,39.7,9.9,0.24937027707808562,60.0,2.0,288.95,7.01,293.6,305.0,33.0,0.021417512240010865,0.020564516129032255,208.728,10.1541,106.39482000000001,15.40938,121.80420000000001,0.12650943070928589,0.24368590572166943,0.19942786761694897,0.08993888212398775,0.03,0.003,0.004,-10.293,0,NGC 5985
NGC6015,2.0,6.0,17.0,5.1,0.3,60.0,2.0,331.76,2.3,154.1,166.0,44.0,0.028329825113164456,0.023378256963162623,32.129,0.0,16.0645,7.75922,23.823719999999998,0.3256930487765975,0.04752077292617527,0.028417054535399444,0.07216005197157585,0.032,0.006,0.007,-10.153,0,NGC 6015
NGC6195,1.0,3.0,127.8,12.8,0.10015649452269171,62.0,5.0,686.8,13.94,251.7,258.0,23.0,0.030370466286529976,0.025951417004048582,391.076,104.582,216.45440000000002,27.80631,244.26071000000002,0.11383865215162929,-0.103000503929344,-0.11464704829692174,0.042910968658462376,0.025,0.004,0.004,-9.935,0,NGC 6195
