z,mu,sigma
0.22714000,40.14119000,0.16180000
0.22806000,40.50123000,0.18920000
0.22806000,40.23671000,0.15270000
0.22941000,40.24144000,0.10260000
0.23048000,40.25625000,0.11140000
0.23057000,42.30845000,238.61200000
0.23079000,40.29796000,0.12260000
0.23171000,40.15341000,0.17070000
0.23212000,40.32782000,0.11570000
0.23279000,40.78688000,201.50040000
0.23332000,40.44286000,0.11870000
0.23355000,40.22620000,0.17760000
0.23380000,40.15655000,0.22000000
0.23470000,40.35195000,0.14080000
0.23480000,40.97115000,111.26640000
0.23482000,40.24048000,0.14610000
0.23532000,40.59127000,0.11080000
0.23707000,40.51120000,0.14530000
0.23710000,40.32020000,0.12150000
0.23720000,40.46564000,0.10180000
0.23734000,40.33508000,0.11170000
0.23747000,40.41081000,0.13410000
0.23891000,40.39397000,0.15350000
0.23928000,40.38821000,0.09980000
0.23954000,40.44745000,0.11270000
0.24003000,40.42150000,0.09050000
0.24171000,40.38161000,0.08390000
0.24283000,40.52226000,0.11510000
0.24448000,40.34132000,0.20670000
0.24576000,40.75279000,0.13320000
0.24605000,40.59366000,0.09930000
0.24618000,40.23354000,0.18730000
0.24701000,40.26524000,0.10200000
0.24936000,40.35571000,0.20890000
0.25126000,40.41245000,0.14170000
0.25173000,40.51833000,0.14340000
0.25286000,40.70136000,0.20310000
0.25308000,40.46937000,0.16930000
0.25378000,40.35512000,0.11340000
0.25517000,40.30212000,0.11410000
0.25604000,40.66634000,0.14480000
0.25691000,40.48353000,0.17300000
0.25833000,40.41248000,0.19880000
0.25854000,40.59566000,0.09340000
0.25904000,40.50537000,0.15020000
0.25907000,40.23541000,0.13010000
0.26046000,40.98259000,0.24000000
0.26048000,40.74659000,0.14640000
0.26103000,40.86697000,0.72740000
0.26150000,40.48657000,0.15000000
0.26162000,40.58782000,0.12710000
0.26271000,40.54026000,0.09030000
0.26317000,41.83784000,320.33050000
0.26361000,40.69751000,0.12750000
0.26523000,40.90810000,0.20720000
0.26584000,40.74542000,0.17740000
0.26628000,40.58229000,0.10560000
0.26765000,40.66311000,0.15290000
0.26767000,42.34894000,219.25440000
0.26775000,40.88779000,0.16350000
0.26793000,40.59362000,0.10090000
0.26891000,40.75730000,0.17680000
0.26996000,40.44445000,0.14280000
0.27001000,40.60880000,0.12060000
0.27051000,40.90091000,0.11110000
0.27119000,40.77037000,0.11540000
0.27142000,40.60580000,0.12490000
0.27237000,40.69293000,0.12470000
0.27255000,40.77936000,0.11500000
0.27265000,40.67029000,0.10330000
0.27278000,40.65338000,0.10590000
0.27304000,40.70865000,0.11370000
0.27316000,40.71483000,0.13970000
0.27382000,40.46812000,0.09800000
0.27437000,40.76180000,0.16670000
0.27539000,40.69707000,0.10950000
0.27578000,41.07373000,0.27550000
0.27589000,40.66582000,0.60080000
0.27618000,40.76795000,0.24440000
0.27659000,40.82561000,0.08100000
0.27694000,40.92631000,0.12420000
0.27784000,41.00841000,0.15480000
0.27905000,40.89237000,0.21870000
0.27963000,40.93028000,0.21830000
0.28010000,40.77810000,0.10560000
0.28063000,40.69969000,0.12790000
0.28110000,40.48691000,0.27560000
0.28169000,41.08529000,0.27770000
0.28303000,40.69138000,0.10730000
0.28417000,41.96640000,6.46340000
0.28513000,40.88255000,0.11640000
0.28578000,40.65082000,0.21530000
0.28699000,41.02013000,0.13740000
0.28805000,40.79063000,0.12050000
0.28834000,40.84993000,0.09890000
0.28848000,41.84104000,136.23060000
0.28895000,40.72403000,0.11910000
0.29001000,40.87310000,0.16530000
0.29069000,40.89234000,0.10330000
0.29082000,40.89713000,0.15770000
0.29093000,40.58483000,0.13720000
0.29149000,40.74212000,0.11160000
0.29156000,40.86883000,0.10320000
0.29185000,40.83596000,0.12700000
0.29185000,40.78485000,0.15470000
0.29199000,40.86884000,0.12470000
0.29209000,40.82885000,0.10780000
0.29256000,41.88914000,30.58340000
0.29323000,40.88986000,0.20230000
0.29358000,40.99129000,0.10760000
0.29376000,40.89113000,0.18160000
0.29438000,41.07496000,0.18460000
0.29461000,40.91041000,0.18730000
0.29471000,40.88079000,0.16290000
0.29498000,43.93669000,248.03660000
0.29571000,41.04146000,0.13680000
0.29584000,42.42820000,223.86330000
0.29648000,40.82165000,0.13080000
0.29686000,40.89235000,0.16360000
0.29770000,40.71277000,0.13830000
0.29874000,40.92345000,0.18930000
0.29887000,41.09030000,0.14210000
0.29911000,40.90452000,0.21920000
0.30179000,41.80664000,47.04300000
0.30244000,41.12940000,0.11800000
0.30246000,40.40637000,4.06430000
0.30251000,40.93181000,0.17550000
0.30259000,42.00282000,15.54030000
0.30307000,41.04589000,0.21300000
0.30317000,41.38656000,129.99180000
0.30477000,40.93882000,0.09840000
0.30477000,41.11450000,0.18410000
0.30511000,40.37324000,169.27250000
0.30517000,40.87119000,0.13800000
0.30546000,40.93135000,0.12450000
0.30694000,40.93472000,0.09050000
0.30697000,41.00668000,0.11510000
0.30743000,41.34191000,0.15950000
0.30880000,41.09949000,0.10980000
0.30893000,40.93935000,0.18350000
0.30994000,41.14081000,0.13900000
0.31016000,41.71960000,25.59190000
0.31042000,40.68442000,0.24250000
0.31048000,41.08142000,0.16110000
0.31075000,40.85079000,0.13470000
0.31079000,41.72013000,258.71450000
0.31184000,41.13838000,0.15880000
0.31193000,41.03378000,0.12770000
0.31194000,41.03821000,0.13030000
0.31251000,41.06449000,0.11080000
0.31257000,41.05905000,0.20820000
0.31268000,40.87877000,0.10750000
0.31270000,42.23841000,195.06410000
0.31286000,41.10731000,0.11400000
0.31293000,41.09265000,0.13460000
0.31314000,40.95914000,0.17650000
0.31406000,41.01342000,0.10670000
0.31562000,41.11746000,0.10920000
0.31564000,41.12722000,0.23040000
0.31615000,41.10099000,0.11510000
0.31722000,41.10583000,0.13810000
0.31752000,41.32500000,0.20130000
0.31794000,41.19550000,0.12350000
0.31863000,41.14129000,0.12860000
0.31915000,41.11731000,0.13420000
0.31920000,41.09362000,0.23750000
0.32008000,41.24500000,0.14910000
0.32040000,41.26326000,0.15380000
0.32059000,41.06264000,0.13870000
0.32078000,41.19991000,0.13870000
0.32154000,41.20996000,0.14950000
0.32214000,40.97363000,0.10640000
0.32250000,41.21681000,0.10510000
0.32274000,41.12372000,0.14100000
0.32394000,41.20068000,0.13050000
0.32472000,41.23036000,0.14900000
0.32510000,41.15482000,0.14190000
0.32550000,41.06110000,0.18360000
0.32572000,41.14461000,0.10540000
0.32622000,41.15016000,0.11520000
0.32670000,41.19884000,0.13650000
0.32707000,40.96772000,0.15010000
0.32710000,41.23238000,0.08260000
0.32858000,41.15561000,0.10250000
0.32869000,41.61532000,0.21890000
