family,relation,value,target_label,target_value,error_frac,error_pct,unit_sensitive,p_any_same_family,p_any_global
sum_rule,"S(all_mass_scales; p=0.5, q=-1.0, r=0.5)",1.238122793878514,1/1,1.0,0.23812279387851398,23.812279387851397,True,1.0,1.0
ratio_mass,M_W/m_mu,760.7280092373506,10^3,1000.0,0.23927199076264935,23.927199076264934,False,1.0,1.0
sum_rule,"S(down_quarks; p=0.0, q=0.5, r=1.0)",1.2404606692764713,1/1,1.0,0.24046066927647125,24.046066927647125,True,1.0,1.0
sum_rule,"S(all_mass_scales; p=0.0, q=-1.0, r=0.5)",0.2522561140239675,1/3,0.3333333333333333,0.24323165792809737,24.323165792809736,True,1.0,1.0
ratio_mass,m_s/m_e,182.77922265992692,3^5,243.0,0.24782212897149417,24.782212897149417,False,1.0,1.0
sum_rule,"S(all_quarks; p=0.5, q=1.0, r=0.5)",1.25342822422995,1/1,1.0,0.2534282242299499,25.342822422994992,True,1.0,1.0
sum_rule,"S(down_quarks; p=1.0, q=2.0, r=1.0)",0.2447248112020704,1/3,0.3333333333333333,0.26582556639378874,26.582556639378872,True,1.0,1.0
sum_rule,"S(charged_leptons; p=0.5, q=-0.5, r=0.5)",0.2424184882016627,1/3,0.3333333333333333,0.27274453539501187,27.274453539501188,True,1.0,1.0
sum_rule,"S(ew_scales; p=-1.0, q=0.5, r=-0.5)",0.2388753660319624,1/3,0.3333333333333333,0.2833739019041127,28.33739019041127,True,1.0,1.0
angle_mass,CKM s12 / sqrt(dm21/dm32_abs),1.2878062025948795,1,1.0,0.28780620259487955,28.780620259487954,False,0.9894010598940106,1.0
sum_rule,"S(all_quarks; p=-0.5, q=2.0, r=0.5)",0.23678187642635032,1/3,0.3333333333333333,0.289654370720949,28.9654370720949,True,1.0,1.0
ratio_mass,m_t/m_b,41.28468899521531,2^5,32.0,0.2901465311004785,29.01465311004785,False,1.0,1.0
ratio_mass,M_W/m_tau,45.235415283139915,2^6,64.0,0.29319663620093883,29.319663620093884,False,1.0,1.0
sum_rule,"S(charged_leptons; p=0.5, q=0.5, r=0.5)",1.2963969972560003,1/1,1.0,0.2963969972560003,29.639699725600032,True,1.0,1.0
sum_rule,"S(down_quarks; p=1.0, q=1.0, r=2.0)",0.23375026589092748,1/3,0.3333333333333333,0.2987492023272175,29.874920232721752,True,1.0,1.0
ratio_mass,m_b/m_s,44.75374732334047,2^6,64.0,0.30072269807280516,30.072269807280517,False,1.0,1.0
sum_rule,"S(down_quarks; p=1.0, q=-0.5, r=1.0)",0.23257342722243923,1/3,0.3333333333333333,0.30227971833268225,30.227971833268224,True,1.0,1.0
sum_rule,"S(all_mass_scales; p=2.0, q=1.0, r=2.0)",0.23124314747372698,1/3,0.3333333333333333,0.306270557578819,30.627055757881898,True,1.0,1.0
sum_rule,"S(all_quarks; p=-0.5, q=1.0, r=1.0)",0.22947727897217224,1/3,0.3333333333333333,0.31156816308348323,31.156816308348322,True,1.0,1.0
sum_rule,"S(all_quarks; p=0.0, q=-1.0, r=0.5)",0.22860920449950695,1/3,0.3333333333333333,0.3141723865014791,31.41723865014791,True,1.0,1.0
angle_mass,PMNS s12 / (dm21/dm32_abs)^(1/4),1.3154753201799514,1,1.0,0.3154753201799514,31.547532017995138,False,0.9928007199280072,1.0
sum_rule,"S(up_quarks; p=0.0, q=1.0, r=0.5)",0.22753263692334486,1/3,0.3333333333333333,0.3174020892299654,31.740208922996537,True,1.0,1.0
sum_rule,"S(charged_fermions; p=0.5, q=0.0, r=2.0)",0.22727296575818384,1/3,0.3333333333333333,0.3181811027254484,31.818110272544843,True,1.0,1.0
ratio_dimless,pmns_s13/ckm_s13,42.33050472407072,2^5,32.0,0.32282827262721003,32.282827262721,False,1.0,1.0
ratio_mass,m_s/m_u,43.24074074074074,2^6,64.0,0.32436342592592593,32.436342592592595,False,1.0,1.0
sum_rule,"S(ew_scales; p=-0.5, q=-0.5, r=-0.5)",0.22446400558469454,1/3,0.3333333333333333,0.32660798324591633,32.66079832459163,True,1.0,1.0
angle_mass,PMNS s13 / sqrt(m_d/m_s),0.6641114665311486,1,1.0,0.3358885334688514,33.58885334688514,False,0.9947005299470053,1.0
ratio_mass,M_H/m_s,1341.0064239828694,10^3,1000.0,0.34100642398286934,34.100642398286936,False,1.0,1.0
sum_rule,"S(up_quarks; p=0.0, q=0.5, r=1.0)",0.20964347859195448,1/3,0.3333333333333333,0.3710695642241365,37.10695642241365,True,1.0,1.0
sum_rule,"S(charged_fermions; p=0.5, q=1.0, r=0.5)",1.3721216409325951,1/1,1.0,0.37212164093259514,37.21216409325952,True,1.0,1.0
sum_rule,"S(charged_leptons; p=1.0, q=1.0, r=0.5)",1.3722350378124006,1/1,1.0,0.37223503781240064,37.22350378124006,True,1.0,1.0
sum_rule,"S(charged_leptons; p=1.0, q=0.0, r=2.0)",0.20922544433333334,1/3,0.3333333333333333,0.3723236669999999,37.23236669999999,True,1.0,1.0
sum_rule,"S(all_mass_scales; p=0.0, q=-0.5, r=0.5)",1.3756192863375827,1/1,1.0,0.3756192863375827,37.56192863375827,True,1.0,1.0
sum_rule,"S(charged_fermions; p=0.5, q=-0.5, r=1.0)",0.2069866844983041,1/3,0.3333333333333333,0.37903994650508765,37.903994650508764,True,1.0,1.0
sum_rule,"S(all_mass_scales; p=0.0, q=0.5, r=1.0)",0.20374078828946846,1/3,0.3333333333333333,0.3887776351315946,38.87776351315946,True,1.0,1.0
angle_mass,PMNS s13 / sqrt(m_mu/m_tau),0.6089777055362162,1,1.0,0.3910222944637838,39.10222944637838,False,0.9971002899710029,1.0
sum_rule,"S(down_quarks; p=0.5, q=0.0, r=0.5)",1.3962964328237333,1/1,1.0,0.3962964328237333,39.62964328237333,True,1.0,1.0
sum_rule,"S(all_mass_scales; p=-0.5, q=0.5, r=1.0)",1.3996673190808575,1/1,1.0,0.3996673190808575,39.96673190808575,True,1.0,1.0
sum_rule,"S(down_quarks; p=0.0, q=-1.0, r=0.5)",0.19996506032331235,1/3,0.3333333333333333,0.4001048190300629,40.01048190300629,True,1.0,1.0
angle_mass,CKM s23 / sqrt(m_e/m_mu),0.5971323378413611,1,1.0,0.4028676621586389,40.28676621586389,False,0.9973002699730027,1.0
ratio_mass,m_c/m_u,587.9629629629629,10^3,1000.0,0.4120370370370371,41.20370370370371,False,1.0,1.0
sum_rule,"S(down_quarks; p=1.0, q=0.0, r=1.0)",1.4260233333333332,1/1,1.0,0.4260233333333332,42.60233333333332,True,1.0,1.0
sum_rule,"S(ew_scales; p=-1.0, q=-1.0, r=0.5)",0.18829023820429897,1/3,0.3333333333333333,0.43512928538710305,43.512928538710305,True,1.0,1.0
sum_rule,"S(charged_leptons; p=1.0, q=2.0, r=2.0)",0.18757643530172238,1/3,0.3333333333333333,0.4372706940948328,43.727069409483285,True,1.0,1.0
sum_rule,"S(charged_leptons; p=0.5, q=0.0, r=2.0)",0.18673835272159714,1/3,0.3333333333333333,0.43978494183520855,43.97849418352086,True,1.0,1.0
sum_rule,"S(ew_scales; p=-0.5, q=0.0, r=0.5)",0.18467203862290538,1/3,0.3333333333333333,0.4459838841312838,44.59838841312838,True,1.0,1.0
sum_rule,"S(all_mass_scales; p=0.5, q=2.0, r=0.5)",0.18351429354053447,1/3,0.3333333333333333,0.44945711937839655,44.945711937839654,True,1.0,1.0
sum_rule,"S(down_quarks; p=0.0, q=1.0, r=0.5)",1.450431795369347,1/1,1.0,0.4504317953693471,45.04317953693471,True,1.0,1.0
sum_rule,"S(charged_leptons; p=1.0, q=0.5, r=0.5)",1.452509534491121,1/1,1.0,0.45250953449112097,45.250953449112096,True,1.0,1.0
angle_mass,CKM s12 / (dm21/dm32_abs)^(1/4),0.5390448106829913,1,1.0,0.46095518931700874,46.09551893170087,False,0.999000099990001,1.0
sum_rule,"S(all_quarks; p=0.0, q=0.5, r=0.5)",1.466976658445311,1/1,1.0,0.466976658445311,46.6976658445311,True,1.0,1.0
sum_rule,"S(all_mass_scales; p=1.0, q=0.5, r=2.0)",0.1775948213633394,1/3,0.3333333333333333,0.46721553590998177,46.72155359099818,True,1.0,1.0
sum_rule,"S(ew_bosons; p=-1.0, q=-1.0, r=0.5)",0.17717732729264507,1/3,0.3333333333333333,0.46846801812206473,46.84680181220647,True,1.0,1.0
sum_rule,"S(ew_bosons; p=-0.5, q=0.0, r=0.5)",0.17644684268139704,1/3,0.3333333333333333,0.4706594719558088,47.06594719558088,True,1.0,1.0
sum_rule,"S(charged_fermions; p=0.0, q=-1.0, r=0.5)",0.1746400138186951,1/3,0.3333333333333333,0.47607995854391466,47.60799585439147,True,1.0,1.0
sum_rule,"S(ew_scales; p=-0.5, q=0.0, r=-1.0)",1.477376308983243,1/1,1.0,0.477376308983243,47.7376308983243,True,1.0,1.0
sum_rule,"S(ew_scales; p=0.0, q=-0.5, r=-1.0)",1.477376308983243,1/1,1.0,0.477376308983243,47.7376308983243,True,1.0,1.0
sum_rule,"S(ew_bosons; p=0.0, q=1.0, r=0.5)",0.17413201473579476,1/3,0.3333333333333333,0.47760395579261566,47.76039557926157,True,1.0,1.0
sum_rule,"S(ew_scales; p=0.0, q=1.0, r=0.5)",0.17165096145031108,1/3,0.3333333333333333,0.4850471156490667,48.50471156490667,True,1.0,1.0
sum_rule,"S(down_quarks; p=0.0, q=2.0, r=1.0)",0.17161346906577296,1/3,0.3333333333333333,0.48515959280268106,48.515959280268106,True,1.0,1.0
ratio_mass,m_tau/m_d,380.4839400428266,2^8,256.0,0.48626539079229136,48.62653907922913,False,1.0,1.0
sum_rule,"S(ew_bosons; p=-1.0, q=0.5, r=-0.5)",0.17109558151927085,1/3,0.3333333333333333,0.4867132554421874,48.67132554421874,True,1.0,1.0
sum_rule,"S(ew_bosons; p=0.5, q=2.0, r=0.5)",0.17019908523579672,1/3,0.3333333333333333,0.4894027442926098,48.94027442926098,True,1.0,1.0
sum_rule,"S(ew_bosons; p=-0.5, q=-0.5, r=-0.5)",0.16895139358171246,1/3,0.3333333333333333,0.49314581925486256,49.31458192548626,True,1.0,1.0
sum_rule,"S(charged_leptons; p=0.5, q=2.0, r=2.0)",0.1674161316719562,1/3,0.3333333333333333,0.49775160498413135,49.775160498413136,True,1.0,1.0
sum_rule,"S(down_quarks; p=0.0, q=1.0, r=2.0)",0.16391756041223787,1/3,0.3333333333333333,0.5082473187632863,50.824731876328634,True,1.0,1.0
angle_mass,CKM s12 / sqrt(m_s/m_b),1.5094333084249203,1,1.0,0.5094333084249203,50.94333084249203,False,0.9993000699930007,1.0
sum_rule,"S(down_quarks; p=0.0, q=-0.5, r=1.0)",0.16309230135722833,1/3,0.3333333333333333,0.510723095928315,51.0723095928315,True,1.0,1.0
sum_rule,"S(down_quarks; p=0.5, q=-1.0, r=0.5)",0.16120225757737797,1/3,0.3333333333333333,0.5163932272678661,51.63932272678661,True,1.0,1.0
sum_rule,"S(ew_scales; p=0.5, q=2.0, r=0.5)",0.15041880732316754,1/3,0.3333333333333333,0.5487435780304973,54.87435780304973,True,1.0,1.0
sum_rule,"S(down_quarks; p=0.5, q=0.5, r=0.5)",1.5551386960904452,1/1,1.0,0.5551386960904452,55.51386960904452,True,1.0,1.0
sum_rule,"S(all_quarks; p=-0.5, q=-1.0, r=0.5)",1.557382896518307,1/1,1.0,0.557382896518307,55.7382896518307,True,1.0,1.0
sum_rule,"S(all_quarks; p=0.0, q=-0.5, r=1.0)",0.14679062227444956,1/3,0.3333333333333333,0.5596281331766513,55.96281331766513,True,1.0,1.0
sum_rule,"S(all_quarks; p=-0.5, q=0.5, r=2.0)",0.14606318015935915,1/3,0.3333333333333333,0.5618104595219225,56.18104595219226,True,1.0,1.0
sum_rule,"S(all_mass_scales; p=0.0, q=-0.5, r=1.0)",0.1455637246879939,1/3,0.3333333333333333,0.5633088259360183,56.33088259360183,True,1.0,1.0
sum_rule,"S(up_quarks; p=-0.5, q=0.5, r=1.0)",1.5709322335454332,1/1,1.0,0.5709322335454332,57.09322335454332,True,1.0,1.0
sum_rule,"S(ew_scales; p=-1.0, q=0.0, r=-1.0)",0.14181285521212655,1/3,0.3333333333333333,0.5745614343636203,57.45614343636203,True,1.0,1.0
sum_rule,"S(ew_scales; p=0.0, q=-1.0, r=-1.0)",0.14181285521212655,1/3,0.3333333333333333,0.5745614343636203,57.45614343636203,True,1.0,1.0
