family,relation,value,target_label,target_value,relative_error,percent_error,global_p_value,note
koide_raw_all,"Q(m_tau, alpha_em_MZ, v)",0.8468693955533361,11/13,0.846153846153846,0.0008456492903064041,0.0845649290306404,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_c, theta12_pmns_deg, G_F)",0.7266426110542774,8/11,0.727272727272727,0.0008664098003681317,0.08664098003681317,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_mu, theta23_pmns_deg, alpha_s_MZ)",0.8340608624746635,5/6,0.833333333333333,0.0008730349695965426,0.08730349695965425,1.0,Raw prompt-unit triple scan.
sum_rules,"S[p=0.5, q=0, r=1](gauge_higgs)",9.901136150719928,6*sqrt(e),9.89232762420077,0.000890440233460298,0.0890440233460298,1.0,
sum_rules,"S[p=0.5, q=0, r=2](gauge_higgs)",3.3003787169066428,2*sqrt(e),3.297442541400256,0.0008904402334604328,0.08904402334604328,1.0,
koide_raw_all,"Q(m_mu, m_tau, theta23_ckm_deg)",0.4162951328116889,5/12,0.416666666666667,0.0008916812519474952,0.08916812519474952,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_c, theta13_ckm_deg, sin2_thetaW)",0.4003573561411619,2/5,0.4,0.0008933903529047271,0.08933903529047271,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_d, theta12_ckm_deg, M_H)",0.6255614297163854,5/8,0.625,0.0008982875462166362,0.08982875462166362,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(dm2_32_abs, theta12_pmns_deg, theta23_pmns_deg)",0.4995507109912449,1/2,0.5,0.0008985780175102542,0.08985780175102542,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_d, m_c, M_Z)",0.8007211525979355,4/5,0.8,0.000901440747419352,0.0901440747419352,1.0,Raw prompt-unit triple scan.
koide_mass_only,"Q(m_d, m_c, M_Z)",0.8007211525979355,4/5,0.8,0.000901440747419352,0.0901440747419352,1.0,
koide_raw_all,"Q(m_mu, m_c, theta23_pmns_deg)",0.700632397180205,7/10,0.7,0.0009034245431500348,0.09034245431500348,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_d, dm2_21, theta13_ckm_deg)",0.7506897637964173,3/4,0.75,0.0009196850618897005,0.09196850618897004,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_mu, m_t, theta23_ckm_deg)",0.7770620687972927,7/9,0.777777777777778,0.0009201972606240098,0.09201972606240098,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_t, theta12_ckm_deg, M_Z)",0.4003683965169833,2/5,0.4,0.0009209912924582064,0.09209912924582064,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_d, m_t, theta12_pmns_deg)",0.5709006250515951,4/7,0.571428571428571,0.0009239061597077221,0.09239061597077221,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_mu, m_t, theta12_pmns_deg)",0.5560695224394389,5/9,0.555555555555556,0.000925140390989098,0.09251403909890979,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_mu, sin2_thetaW, M_W)",0.8453697928055861,11/13,0.846153846153846,0.0009266085024890056,0.09266085024890056,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_mu, m_tau, M_H)",0.7699439706627318,10/13,0.769230769230769,0.0009271618615515622,0.09271618615515623,1.0,Raw prompt-unit triple scan.
koide_mass_only,"Q(m_mu, m_tau, M_H)",0.7699439706627318,10/13,0.769230769230769,0.0009271618615515622,0.09271618615515623,1.0,
