galaxy,R_kpc,Vobs_kms,e_Vobs_kms,gobs_mps2,gbar_mps2,gpred_mps2,log10_gobs,log10_gbar,log10_gpred,delta_dex
DDO168,0.82,23.4,1.3,2.1640501313758008e-11,1.6086287776373918e-11,5.246865922144289e-11,-10.66473268278557,-10.793544166233172,-10.28010003357503,-0.3846326492105394
DDO168,1.24,29.2,1.5,2.228401655928906e-11,1.3531930114006173e-11,4.744072532577256e-11,-10.652006527487536,-10.868640253803052,-10.323848679623294,-0.32815784786424196
DDO168,1.64,36.2,1.1,2.589540739060655e-11,1.0589444924795188e-11,4.120382811791332e-11,-10.586777252203504,-10.975126804048932,-10.38506243315975,-0.20171481904375455
DDO168,2.06,44.0,1.1,3.0457032545457724e-11,9.858199674073901e-12,3.95587759670628e-11,-10.516312412618916,-11.006202389623143,-10.402757154864911,-0.11355525775400466
DDO168,2.47,52.1,1.2,3.561458992332258e-11,8.621881402459347e-12,3.66688984928151e-11,-10.448372051882755,-11.064397955341063,-10.43570213573553,-0.01266991614722457
DDO168,2.89,52.9,1.7,3.138072377638064e-11,7.524804119664498e-12,3.3968831254990945e-11,-10.503337043908315,-11.123504800831268,-10.468919395380196,-0.03441764852811957
DDO168,3.3,54.8,2.2,2.9491484355675776e-11,6.529243699969914e-12,3.1382659807674876e-11,-10.530303368131287,-11.185137121320949,-10.503310250970772,-0.026993117160515112
DDO168,3.71,55.0,2.5,2.6424143802073327e-11,5.803182235744434e-12,2.939690130373824e-11,-10.577999075848696,-11.236333791190505,-10.531698445697092,-0.04630063015160424
DDO168,4.12,52.0,2.7,2.126958057926593e-11,5.1215014424248374e-12,2.7439586287734257e-11,-10.672241073985674,-11.290602700631778,-10.561622440862829,-0.11061863312284537
DDO170,1.87,27.7,3.0,1.3297420005335651e-11,4.172814415310666e-12,2.4528383782519954e-11,-10.87623261362974,-11.37957092997767,-10.610331067262747,-0.2659015463669938
DDO170,3.36,42.4,1.5,1.7339712426760424e-11,4.071577655493393e-12,2.4202309001361897e-11,-10.760958109426516,-11.3902372776756,-10.616143198535534,-0.14481491089098242
DDO170,4.86,52.5,1.0,1.837941958133957e-11,4.1526645646575096e-12,2.4463746931575652e-11,-10.735668207672518,-11.381673148014068,-10.611477024524492,-0.12419118314802624
DDO170,6.35,55.6,1.0,1.5777032227112966e-11,4.0287558903918646e-12,2.40633715728082e-11,-10.801974687349999,-11.394829046502801,-10.618643522761715,-0.18333116458828336
DDO170,7.85,58.6,1.1,1.4176696113096016e-11,3.718827880944682e-12,2.3038792498209186e-11,-10.848424969931209,-11.429593921690978,-10.637540286755208,-0.21088468317600118
DDO170,9.34,59.0,1.2,1.2078321955627233e-11,3.169003488221152e-12,2.1128178120755733e-11,-10.917993398167944,-11.499077282767932,-10.675137950473262,-0.24285544769468181
DDO170,10.83,60.0,1.3,1.0772673538319219e-11,2.529885026693444e-12,1.8719268185393695e-11,-10.967676501080172,-11.596899215348767,-10.727711133656554,-0.2399653674236184
DDO170,12.33,62.2,1.0,1.016874010233085e-11,1.925701148615793e-12,1.6184625759355425e-11,-10.992732852436232,-11.71541111055397,-10.790897338431686,-0.20183551400454647
ESO079-G014,0.41,33.2,11.6,8.71247942438331e-11,3.350929030105727e-11,8.163570866785481e-11,-10.0598582345338,-10.474834770063818,-10.088119832849332,0.02826159831553099
ESO079-G014,0.98,50.4,11.8,8.400099918239795e-11,3.8106541235967104e-11,8.845572325622162e-11,-10.075715548023583,-10.419000468449092,-10.053274062152981,-0.02244148587060124
ESO079-G014,1.78,53.9,9.75,5.289406966003744e-11,3.592433974313821e-11,8.52496477693624e-11,-10.276593017157555,-10.444611205060035,-10.069307406730049,-0.20728561042750648
ESO079-G014,2.69,67.6,5.1,5.505421399900105e-11,3.519941342662835e-11,8.417242075349244e-11,-10.259209433341274,-10.453464573672468,-10.07483018256907,-0.18437925077220463
ESO079-G014,3.36,81.7,5.06,6.438049187892649e-11,3.3406208030509794e-11,8.14798054766163e-11,-10.191245709547152,-10.476172818731467,-10.088950016497266,-0.10229569304988573
ESO079-G014,4.39,102.0,5.35,7.680425450428059e-11,2.8491562486555162e-11,7.38702554566853e-11,-10.114614721940425,-10.545283733256772,-10.131530399107659,0.01691567716723341
ESO079-G014,5.65,116.0,6.44,7.718217012170508e-11,2.491348476491638e-11,6.807686154617958e-11,-10.11248301458774,-10.603565521426768,-10.167000474142535,0.05451745955479481
ESO079-G014,6.34,132.0,9.1,8.906520242788426e-11,2.418166480694145e-11,6.686076648750247e-11,-10.050291940692171,-10.616513803079085,-10.174828648991062,0.12453670829889063
ESO079-G014,6.89,137.0,5.25,8.828183814743293e-11,2.4430665707518858e-11,6.72758301968069e-11,-10.054128632816951,-10.612064698840605,-10.17214093425291,0.11801230143595909
ESO079-G014,8.34,154.0,4.2,9.215626094539877e-11,2.631960022228247e-11,7.038246326855522e-11,-10.035475154186951,-10.579720711660487,-10.15253553765399,0.11706038346703806
ESO079-G014,10.04,163.0,3.28,8.576122006100333e-11,2.8636068406110648e-11,7.409935774166538e-11,-10.066709049223224,-10.543086608806204,-10.13018555626439,0.06347650704116603
ESO079-G014,11.65,170.0,2.41,8.039358065660271e-11,2.7385771566110398e-11,7.210517970039286e-11,-10.094778627827628,-10.56247501875989,-10.142033536466434,0.04725490863880566
ESO079-G014,13.36,175.0,2.18,7.428807315810905e-11,2.4629946978393837e-11,6.760705207484191e-11,-10.129080905989076,-10.608536523078305,-10.17000800054578,0.040927094556703736
ESO079-G014,15.06,177.0,2.23,6.741724725033368e-11,2.1113152972591958e-11,6.162708737420634e-11,-10.171228984363207,-10.675446905662106,-10.210228357455133,0.038999373091925804
ESO079-G014,16.67,178.0,2.03,6.159619136578e-11,1.8188774711193784e-11,5.6401884024038116e-11,-10.210446140432357,-10.740196556246609,-10.248706388790104,0.038260248357747884
ESO116-G012,0.25,20.9,3.4,5.662419205688773e-11,1.9459719434127785e-11,5.870469009286159e-11,-10.246997981672068,-10.710863425583007,-10.231327200284227,-0.015670781387841615
